0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:11 +0700] "GET /Itweb/image_sach/y11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /Itweb/image_sach/y9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:12 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:15 +0700] "GET /Itweb/dangnhapController HTTP/1.1" 200 5614
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:24 +0700] "POST /Itweb/ktdnController HTTP/1.1" 200 79662
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:24 +0700] "GET /Itweb/image_sach/k4.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:31 +0700] "GET /Itweb/giohangController?anh=image_sach/b1.jpg&ms=b1&ts=tyi&gia=1123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:32 +0700] "GET /Itweb/htgioController HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:23:43 +0700] "GET /Itweb/lichsu.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:24:04 +0700] "GET /Itweb/lichsu.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:42:29 +0700] "GET /Itweb/lichsu.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:42:30 +0700] "GET /Itweb/lichsu.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:42:32 +0700] "GET /Itweb/htgioController HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:42:34 +0700] "GET /Itweb/htgioController HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:42:34 +0700] "GET /Itweb/htgioController HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [15/Nov/2022:07:42:34 +0700] "GET /Itweb/htgioController HTTP/1.1" 200 6857
