0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y11.jpg HTTP/1.1" 200 15496
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y12.jpg HTTP/1.1" 200 15562
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y13.jpg HTTP/1.1" 200 18582
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y14.jpg HTTP/1.1" 200 19149
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y15.jpg HTTP/1.1" 200 15755
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y16.jpg HTTP/1.1" 200 34693
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y2.jpg HTTP/1.1" 200 15752
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y3.jpg HTTP/1.1" 200 33593
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y4.jpg HTTP/1.1" 200 15237
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y5.jpg HTTP/1.1" 200 17353
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y6.jpg HTTP/1.1" 200 16916
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y7.jpg HTTP/1.1" 200 20377
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y8.jpg HTTP/1.1" 200 9946
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y9.jpg HTTP/1.1" 200 14114
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:54:52 +0700] "GET /Itweb/htsachController HTTP/1.1" 200 80071
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:54:52 +0700] "GET /Itweb/mua.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:54:52 +0700] "GET /Itweb/image_sach/b11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:54:52 +0700] "GET /Itweb/image_sach/b14.jpg HTTP/1.1" 304 -
